feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Psy.Depression_Assessment_Score	4	0.47413772085316075	0.463831348041199	57	Psy
surveyHealth.Sleep_quality	4	0.13639653414314884	0.27532179457491285	9	surveyHealth
Psy.Hostile_Assessment_score	4	0.2612733429787199	0.2422399969051047	29	Psy
Psy.Forced_symptom_evaluation_Score	4	0.20740375537767503	0.23622544779945184	23	Psy
Meta.M00133	4	0.1516146071463738	0.2048977587292632	9	Meta
Psy.Total_score_of_psychological_symptoms	4	0.14729226455053657	0.20429386999788507	14	Psy
Meta.M00234	4	0.15787554192796055	0.1820027046141182	9	Meta
Prs.Quant.interleukin_4_measurement	4	0.197074779149922	0.1650101557457054	26	Prs
Psy.Paranoid_Assessment_Score	4	0.12498737366690561	0.13640217565564167	13	Psy
Meta.M00214	4	0.12741704017833622	0.1334540429487363	7	Meta
Meta.M00533	4	0.13271177393873426	0.12557038845760674	7	Meta
Meta.M00194	4	0.12223018334544308	0.1225659057132262	6	Meta
Psy.Sleep_Diet_Assessment_Score	4	0.02814676687329066	0.11913783527406924	7	Psy
Meta.M00016	4	0.1351933248493865	0.11838452368414061	6	Meta
Prs.Quant.fibrinogen_measurement	4	0.11283891941367828	0.11712582364063343	9	Prs
Meta.M00088	4	0.11244317872933324	0.11578284577373966	6	Meta
Meta.M00457	4	0.12195833083913823	0.1134169019622005	8	Meta
Meta.M00200	4	0.12195289431636892	0.11242730672402307	5	Meta
Prs.Quant.BMI-adjusted_waist_circumference	4	0.13982528127594265	0.11214295914430142	22	Prs
surveyHealth.Drinking_status	1	0.12562990625025555	0.11001219359679344	16	surveyHealth
Meta.M00491	4	0.12195289431636885	0.10803625306187109	5	Meta
Prs.Quant.Ischemic_stroke	4	0.1479913136455226	0.1014210996662327	19	Prs
Meta.M00095	4	0.10329135543489283	0.09907620316246252	4	Meta
Prs.Quant.body_height	4	0.10233036349937409	0.09894761800677666	6	Prs
Psy.Anxiety_Assessment_Score	4	0.07310912812961082	0.09204067983632548	9	Psy
Meta.M00239	4	0.10251809194968352	0.09123212185233875	4	Meta
Psy.Psychiatric_Assessment_Score	4	0.07033495101114015	0.08950430086954626	8	Psy
Meta.M00806	4	0.09618628494546763	0.08618157847956881	5	Meta
Meta.M00270	4	0.09369297936367933	0.08474844844923604	4	Meta
Meta.M00303	4	0.09147224525037631	0.08033771110585777	5	Meta
Meta.M00018	4	0.08473015860474192	0.07803538460402387	5	Meta
Meta.M00237	4	0.08153427653727251	0.07738595734491283	3	Meta
Meta.M00247	4	0.08155923464968606	0.07726533285194634	4	Meta
Psy.Somatization_Evaluation_Score	4	0.05372735565418563	0.0768634712566122	7	Psy
Meta.M00025	4	0.09164466293223834	0.0741588099730509	5	Meta
Meta.M00275	4	0.09260899714018382	0.07369043522391502	4	Meta
Meta.M00565	4	0.08869557304718594	0.07314920924960155	4	Meta
Meta.M00276	4	0.10154001351513452	0.07193130289393324	4	Meta
Meta.M00606	4	0.08893797178312092	0.07176355079781442	5	Meta
Meta.M00205	4	0.07643322094871739	0.07170802075272435	3	Meta
Psy.Interpersonal_Sensitivity_Assessment_Score	4	0.0757147593931938	0.0715522494932237	11	Psy
Meta.M00272	4	0.07752474606399155	0.06947405411361834	4	Meta
surveyHealth.Bowel_Stool	4	0.07437640458436927	0.06806385897229154	6	surveyHealth
Prs.Quant.gas_trapping_measurement	4	0.054222868935255124	0.0679956497851333	3	Prs
Meta.M00206	4	0.08381195808215218	0.06717744835180958	4	Meta
Meta.M00602	4	0.08381195808215222	0.06655719848019963	4	Meta
Meta.M00605	4	0.08381195808215222	0.06633435497622531	4	Meta
Meta.M00201	4	0.08381195808215222	0.06465414945117573	4	Meta
Meta.M00271	4	0.06966300221305438	0.06455643239918751	3	Meta
Meta.M00612	4	0.07724920559000151	0.06433973597154392	4	Meta
Meta.M00197	4	0.08381195808215222	0.06272063514634363	4	Meta
Meta.M00165	4	0.07724920559000151	0.06100562870031349	4	Meta
Meta.M00238	4	0.07632292437390008	0.06098877851789756	4	Meta
Meta.M00266	4	0.0740533620476542	0.06094502950806919	3	Meta
Meta.M00273	4	0.07394745825870767	0.05926597443309254	3	Meta
Prs.Quant.social_communication_impairment	4	0.06670690710532191	0.0571002050738601	4	Prs
Meta.M00525	4	0.060767020064711894	0.055441755361269836	4	Meta
Prs.Quant.gait_measurement	4	0.045104755127653356	0.055316067239827085	6	Prs
Meta.M00581	4	0.06747862325349406	0.054397859070359884	3	Meta
Meta.M00038	4	0.058911065214287454	0.05365951844723764	2	Meta
Prs.Quant.erythrocyte_count	4	0.045509475336441514	0.05345279781842879	9	Prs
Meta.M00269	4	0.04920678535412741	0.053448559427585765	2	Meta
Meta.M00265	4	0.06355891007753667	0.05282912394147945	2	Meta
Meta.M00333	4	0.07080729765091917	0.05247304360163882	3	Meta
Meta.M00267	4	0.0632204793723543	0.051294399384276386	3	Meta
Meta.M00479	4	0.06863698789980717	0.05119182265383651	5	Meta
Prs.Quant.hair_colour_measurement	4	0.05518807429242223	0.05018919219532273	7	Prs
Meta.M00236	4	0.04489737119606056	0.04773318344939185	1	Meta
Prs.Disease.migraine_disorder	4	0.05182027042784735	0.04771543926664319	2	Prs
Prs.Disease.acute_lymphoblastic_leukemia	4	0.0607754646960495	0.047381068227077945	11	Prs
