feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Disease.acute_lymphoblastic_leukemia	4	0.6202552252083274	0.6250258200920401	7	Prs
Meta.M00612	4	0.3199443804440341	0.34503524895948473	2	Meta
Meta.M00165	4	0.3199443804440342	0.32938511245592667	2	Meta
Prs.Quant.dysmenorrheic_pain_measurement	4	0.32490967435834917	0.3215327403165086	3	Prs
Meta.M00611	4	0.3199443804440341	0.3130126658266385	2	Meta
Meta.M00238	4	0.24261505877163173	0.22951003999922848	2	Meta
Meta.M00549	4	0.20996037182234945	0.22194875126613012	1	Meta
Meta.M00033	4	0.20996037182234945	0.21117814796329	1	Meta
Meta.M00344	4	0.2099603718223497	0.16431766359779723	1	Meta
Prs.Quant.HOMA-B	4	0.09646696675204872	0.07578296807943065	2	Prs
Meta.M00465	4	0.04236319530853643	0.030766610204535035	3	Meta
Prs.Quant.cognitive_function_measurement	4	0.014340213313923541	0.011262716796542284	1	Prs
Prs.Quant.social_communication_impairment	4	0.014340213313923818	0.009461188205638642	1	Prs
