feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.skin_aging_measurement	6	0.5525148032196625	0.5329443322669554	11	Prs
Meta.M00738	6	0.2371344426545843	0.28641371649799413	3	Meta
Meta.M00625	6	0.31134046731031584	0.2654441917992783	4	Meta
Phy.Reaction_time(s)	6	0.24329412241057008	0.2536429542124627	4	Phy
Meta.M00469	6	0.20289504063098762	0.24022077303833006	2	Meta
Prs.Disease.basal_cell_carcinoma	6	0.27247405157612165	0.233433142074624	6	Prs
Meta.M00522	6	0.18973607970853593	0.22369173177679424	3	Meta
Prs.Quant.osteoporosis	6	0.1342961447154197	0.21437584483036312	4	Prs
Meta.M00246	6	0.24931154395703684	0.20847828217654527	3	Meta
Meta.M00485	6	0.2028950406309876	0.1985943438983948	2	Meta
Meta.M00740	6	0.21033459392446854	0.163958318851831	2	Meta
Prs.Quant.Microalbuminuria	6	0.1064105346851053	0.14145285188374107	7	Prs
Meta.M00374	6	0.1408661172777085	0.13524068893970262	1	Meta
Meta.M00149	6	0.14086611727770856	0.12630281477948677	1	Meta
Meta.M00127	6	0.1408661172777085	0.12081788406958602	1	Meta
Meta.Veillonella_parvula	6	0.0656356792016726	0.12002644665967485	3	Meta
Prs.Quant.age_at_menopause	6	0.15287808234887	0.11947286255335857	3	Prs
Meta.M00570	6	0.1408661172777085	0.11933306107639262	1	Meta
Meta.M00842	6	0.11103300365185079	0.11768068380735076	3	Meta
Meta.M00843	6	0.11103300365185076	0.10259963332330446	3	Meta
Meta.M00295	6	0.037969635526563045	0.07560993042475446	4	Meta
Meta.M00840	6	0.07566390996142364	0.0696873508482098	2	Meta
Meta.Roseburia_inulinivorans	6	0.03423940202359667	0.06859948037536558	1	Meta
Prs.Disease.multiple_myeloma	6	0.05738499335832584	0.06802377113976421	3	Prs
Prs.Quant.heart_rate_variability_measurement	6	0.014260923337514136	0.06154824194183508	5	Prs
Prs.Quant.refractive_error_measurement	6	0.05661672057644234	0.054924334893717765	2	Prs
Meta.M00231	6	0.03482798480526038	0.05391100870668005	4	Meta
Prs.Quant.macrophage_inflammatory_protein_1b_measurement	6	0.01857513768281945	0.049516820966859984	4	Prs
Meta.M00486	6	0.029741592149849613	0.04919179621452396	2	Meta
Meta.M00569	6	0.02712984117563327	0.03526902504625093	1	Meta
Meta.Bilophila_unclassified	6	0.020712739694429712	0.03508615227685262	3	Meta
Meta.M00072	6	0.007087155627530706	0.03390061550521063	2	Meta
Meta.M00188	6	0.03897695003256824	0.03386417553908796	1	Meta
Meta.M00455	6	0.004383846210355039	0.026671971844477865	3	Meta
Prs.Disease.squamous_cell_lung_carcinoma	6	0.016734109620496464	0.02440150917865969	1	Prs
Meta.M00517	6	0.006309923383412451	0.022419884209393233	2	Meta
Prs.Disease.triple-negative_breast_cancer	6	0.02430015595562645	0.021497099974061462	3	Prs
Prs.Disease.testicular_carcinoma	6	0.009222593046228394	0.02063811551500249	5	Prs
Meta.M00519	6	0.003635886111366359	0.01945682415868081	1	Meta
Prs.Quant.aging	6	0.010488293464168548	0.017776641604748133	2	Prs
Prs.Quant.vitamin_D_measurement	6	0.010243989849830782	0.01718693771258009	4	Prs
Prs.Quant.hippocampal_sclerosis_of_aging	6	0.009680528195640426	0.017114724420457875	1	Prs
Meta.Bilophila_wadsworthia	6	0.0070871556275307005	0.016204404066981783	2	Meta
Prs.Quant.orthostatic_hypotension	6	0.010209033223079497	0.01606375534089304	2	Prs
Meta.M00243	6	0.014630560407230675	0.01434538181581778	1	Meta
Meta.M00051	6	0.003635886111366353	0.013828989962426368	1	Meta
Meta.M00538	6	0.009823919070111785	0.0124647877912929	3	Meta
Prs.Quant.interleukin_5_measurement	6	0.009496863334295154	0.012279558814968805	2	Prs
Meta.M00537	6	0.009823919070111766	0.012057110458211933	3	Meta
Prs.Disease.estrogen-receptor_negative_breast_cancer	6	0.001625323756921857	0.009167788155307595	5	Prs
Meta.M00395	6	0.005214589600284082	0.008345767142209483	2	Meta
Prs.Disease.idiopathic_pulmonary_fibrosis	6	0.005280805513147847	0.007746695861305795	1	Prs
Prs.Quant.stromal_cell-derived_factor_1_alpha_measurement	6	0.001308376943397641	0.006875776618558835	2	Prs
Prs.Disease.Parkinson's_disease	6	0.005009304104769524	0.005735142471403131	2	Prs
Vitamin.25-hydroxy_D(ng/mL)	6	0.0026117509742163577	0.00526379382504648	1	Vitamin
Vitamin.25-hydroxyD3(ng/mL)	6	0.002611750974216356	0.005069737135507763	1	Vitamin
Meta.M00332	6	0.002351341296349157	0.004272675408956115	1	Meta
Meta.M00492	6	0.0007479600989887011	0.004229536646895974	2	Meta
Meta.M00523	6	0.002421267731513293	0.0033199076947040703	1	Meta
Meta.M00579	6	0.0004143835524815112	0.002778255784182774	1	Meta
Meta.M00140	6	0.0004143835524815231	0.0021867965664332935	1	Meta
Meta.M00618	6	0.0004143835524815235	0.0019416744372120786	1	Meta
