feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Amino.Glutamate(μmol/L)	0.16733852850988545	0.27144566144259924	35	Amino
Hormone.Serum_testosterone_test_value(ng/mL)	0.20841870153247735	0.26200618954887567	44	Hormone
Inbody.Body_fat(kg)	0.19958960444010446	0.2483427774948625	55	Inbody
Inbody.Body_fat_rate(%)	0.19344915415420152	0.24322208554466834	54	Inbody
Inbody.Waist_circumference(cm)	0.2029364538518113	0.23779471860037024	56	Inbody
Health.Triglyceride(mmol/L)	0.16307310617040285	0.23066064997587493	34	Health
Inbody.Body_mass_index	0.1925121155915814	0.22698017988068928	49	Inbody
Health.Serum_alanine_aminotransferase(U/L)	0.18025696168211353	0.223500424821447	39	Health
Inbody.Waist-to-hip_ratio	0.1869636939613191	0.20986184669722627	50	Inbody
Health.High-density_lipoprotein(mmol/L)	0.15465669717374253	0.2049818931884033	32	Health
Health.γ-glutamyl_transpeptidase(U/L)	0.15660887600295093	0.20426828970574887	34	Health
Inbody.Bust(cm)	0.17959083425779318	0.19997887835999437	45	Inbody
Inbody.Weight(kg)	0.17313207855090657	0.17864922674880118	45	Inbody
Skin.Number_of_pores_on_side_face	0.1297434789972595	0.15573438873246287	23	Skin
Inbody.Hip_circumference(cm)	0.1719465530523599	0.15368230468645327	42	Inbody
Amino.α-aminoadipic_acid(μmol/L)	0.17023242330449606	0.13829101795374624	34	Amino
Health.Serum_uric_acid(μmol/L)	0.15016981117909964	0.13693020374617976	31	Health
Amino.valine(μmol/L)	0.1446347511852686	0.12572614516744401	27	Amino
Amino.Leucine(μmol/L)	0.1442429981497462	0.12568220434223193	28	Amino
ECG.Systolic_pressure(mmHg)	0.16519055812117409	0.11911414836140401	32	ECG
Amino.Isoleucine(μmol/L)	0.12512812909827864	0.09888075959216093	25	Amino
Amino.Tyrosine(μmol/L)	0.13695084218060036	0.09660866652201311	26	Amino
Vitamin.E(ng/mL)	0.10724425501557874	0.09525813879973505	21	Vitamin
ECG.Diastolic_pressure(mmHg)	0.13336110244050642	0.09226767794361701	25	ECG
Health.White_blood_cell_count(G/L)	0.12774883592115766	0.08700430753492876	24	Health
Phy.Sit-up/Push_up_Test	0.07849850091306336	0.08490740815809973	16	Phy
Skin.Number_of_spots_on_side_face	0.10209841741587852	0.08390034213418124	20	Skin
Phy.Hand_Grip_Test(kg)	0.06214943873720738	0.08370647357487668	14	Phy
Amino.Glycine(μmol/L)	0.12035958672506951	0.08229651220537264	22	Amino
Hormone.Progesterone(ng/mL)	0.10094570311049286	0.07933781113394371	18	Hormone
Amino.Aspartic_acid(μmol/L)	0.0911849340086944	0.07840085119240657	15	Amino
Hormone.12-Deoxycorticosterone_Test_Value(ng/mL)	0.11206813811150435	0.07822237416415086	20	Hormone
Health.Low-density_lipoprotein(mmol/L)	0.0860440188055266	0.07620311292554491	17	Health
Inbody.Inorganic_salt(kg)	0.10501600747868374	0.07573377976581869	25	Inbody
Phy.Vital_capacity(mL)	0.059402464456703025	0.07367188742923063	15	Phy
Inbody.Muscle_mass(kg)	0.0986172480871909	0.07087222428001606	24	Inbody
Hormone.18-hydroxyprogesterone_test_value(ng/mL)	0.08586338242954679	0.07082917755678161	14	Hormone
Inbody.Protein(kg)	0.09348995393272794	0.06978454331559382	23	Inbody
Inbody.Total_body_water(L)	0.09864268625618125	0.06951989948725636	24	Inbody
Inbody.Skeletal_muscle(kg)	0.09771534457479614	0.06879559479718839	23	Inbody
Inbody.Basal_metabolic_rate(kcal/d)	0.09891072348988572	0.06868092663412921	24	Inbody
Health.The_total_number_of_neutrophils(G/L)	0.10278026402254586	0.06776485440017173	19	Health
Inbody.Fat-free_body_weight(kg)	0.09861724808719091	0.06751192714674126	24	Inbody
Amino.Cystine(μmol/L)	0.0885064778657648	0.06686518413904682	14	Amino
Health.Serum_aspartate_aminotransferase(U/L)	0.11278797785546639	0.06480590397584768	19	Health
