feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.total_cholesterol_measurement	2	0.6281059384129926	0.587660148827487	6	Prs
Meta.Coprococcus_catus	2	0.3227708611998805	0.3898613119802196	2	Meta
Prs.Quant.central_corneal_thickness	2	0.24001500960733263	0.36451656695000145	2	Prs
Meta.M00523	2	0.32277086119988035	0.35386801145769303	2	Meta
Meta.M00117	2	0.2709940537823048	0.27777107900237635	2	Meta
Meta.M00281	2	0.30574639762716016	0.25219129769348186	2	Meta
Meta.M00135	2	0.23353231497136254	0.21352192439801734	1	Meta
surveyHealth.Motion_Frequency	2	0.23353231497136287	0.17817266919979555	1	surveyHealth
Prs.Disease.Malignant_epithelial_tumor_of_ovary	2	0.19422620016726694	0.11999197591342252	4	Prs
Prs.Quant.interleukin_9_measurement	2	0.10075667949129281	0.08593688157847855	1	Prs
Meta.M00531	2	0.07221408265579722	0.046923195296721586	1	Meta
Meta.M00513	2	0.0722140826557973	0.03679024681208356	1	Meta
Meta.M00273	2	0.07221408265579744	0.03370377070615078	1	Meta
