feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Health.Platelet_count(G/L)	0.31400641489916115	0.46199835972463504	5	Health
Amino.Phosphoethanolamine(μmol/L)	0.37866030443936893	0.46030853162641855	5	Amino
Amino.Taurine(μmol/L)	0.2956544275365778	0.41819857498390034	4	Amino
Health.Average_platelet_volume(fL)	0.3104305777395408	0.3376591278225948	4	Health
Health.Platelet_distribution_width(fL)	0.3544227576236891	0.3064623006115091	5	Health
Prs.Quant.platelet_component_distribution_width	0.28027067930383137	0.2852993421779073	5	Prs
Health.Platelet_volume_ratio(%)	0.2621110073919421	0.2635984504395696	5	Health
Prs.Quant.mean_platelet_volume	0.3484063026151536	0.16800791866198767	6	Prs
Prs.Quant.platelet_crit	0.226158617781561	0.06938357532702376	5	Prs
Meta.M00495	0.13725679322475218	0.05734969866974053	2	Meta
Psy.Interpersonal_Sensitivity_Assessment_Score	0.1846514163734041	0.04021527938304706	3	Psy
Meta.M00233	0.1206539823714679	0.030432986532707033	2	Meta
Meta.M00216	0.076885755586016	0.02956826271612284	2	Meta
Meta.M00228	0.06244649953555634	0.022328114971516096	1	Meta
Meta.Bifidobacterium_longum	0.15121891486075933	0.020364131405998784	3	Meta
Meta.M00205	0.08300587690279104	0.013320452903211788	1	Meta
Meta.Collinsella_aerofaciens	0.10128087386584436	0.00891103415280514	5	Meta
Prs.Disease.ulcerative_colitis	0.07222108863978124	0.005674670379143945	3	Prs
Prs.Disease.coronary_heart_disease	0.04244721522389319	0.003467151650206008	2	Prs
Prs.Quant.blood_urea_nitrogen_measurement	0.06015667978363835	0.00289131917512847	2	Prs
Prs.Quant.age_at_menarche	0.02412960869425359	0.0007512432272324881	1	Prs
Meta.M00073	0.01720627539864287	0.0003997324622794383	1	Meta
