feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Health.Percentage_of_lymphocytes(%)	2	0.3006138014460039	0.44694509237238794	13	Health
Immune.Summary_of_immune_clone_num	2	0.09814269295833802	0.44486313962988144	3	Immune
Health.Neutrophil_percentage(%)	2	0.3006138014460038	0.398722699816957	13	Health
Amino.Phosphoserine(μmol/L)	2	0.28161954162525243	0.2621882614931806	10	Amino
Immune.uniq.Influenza	2	0.2651299507460381	0.23511967797961703	8	Immune
Immune.uniq.Cytomegalovirus_(CMV)	2	0.2791546063801472	0.23327902786066965	9	Immune
Immune.uniq.Pathogens	2	0.2791546063801473	0.23229756556003936	9	Immune
Immune.uniq.Encounter_for_immunization	2	0.2326070250753028	0.18559906311373106	7	Immune
Amino.Argininosuccinic_acid(μmol/L)	2	0.3125996516619373	0.159322163342898	12	Amino
Health.The_total_number_of_neutrophils(G/L)	2	0.1357887317454513	0.15737811233134644	5	Health
Immune.uniq.Epstein-Barr_virus	2	0.18765394648426026	0.1503377825293809	5	Immune
Immune.uniq.Human_immunodeficiency_virus_(HIV)	2	0.1910739729156906	0.1386230097866405	5	Immune
Immune.uniq.Tuberculosis	2	0.18669668361164474	0.12831692172998682	5	Immune
Vitamin.B5(ng/mL)	2	0.21376686659235675	0.12188201533337997	6	Vitamin
Immune.uniq.Hepatitis_C_virus(HCV)	2	0.16206199682700465	0.11001091458862951	5	Immune
Microelement.Mercury(μg/L)	2	0.23945003534263795	0.09385846431214667	8	Microelement
Amino.L-homocitrulline(μmol/L)	2	0.20657816662506462	0.08478728868174137	7	Amino
Immune.uniq.DENV1	2	0.08006077105161212	0.0841630016164942	2	Immune
Immune.uniq.Yellow_fever_virus	2	0.11756183976047682	0.0816742267682413	3	Immune
Prs.Quant.myeloid_white_cell_count	2	0.09814269295833805	0.07503977710280316	3	Prs
Immune.uniq.DENV3/4	2	0.08006077105161215	0.05990330071582381	2	Immune
Amino.Carnosine(μmol/L)	2	0.10532012092221207	0.04138660157048709	3	Amino
Immune.uniq.Autoimmune	2	0.06913484385116787	0.014460739433559302	2	Immune
Immune.uniq.M._tuberculosis	2	0.04162644732566484	0.010542521279224674	1	Immune
Vitamin.B1(ng/mL)	2	0.03188568582954877	0.008358813494320385	1	Vitamin
Prs.Disease.glioblastoma_multiforme	2	0.021580526844946636	0.006168454990637314	1	Prs
