feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.neutrophil_percentage_of_granulocytes	5	0.09864688771653907	0.3988239312837321	3	Prs
Health.Percentage_of_eosinophils(%)	5	0.08244075490222355	0.3618276456000742	3	Health
Meta.Eubacterium_ventriosum	5	0.2619496528870143	0.35305619394422605	8	Meta
Health.Eosinophil_absolute_counts(G/L)	5	0.08244075490222352	0.34877634766651733	3	Health
Prs.Quant.eosinophil_percentage_of_leukocytes	5	0.11265701525452554	0.3410943459647666	4	Prs
Prs.Quant.eosinophil_percentage_of_granulocytes	5	0.14540560994525775	0.2823378532411105	5	Prs
Prs.Quant.radius_bone_mineral_density	5	0.19916987153730534	0.14475095862077328	6	Prs
Prs.Quant.macrophage_colony_stimulating_factor_measurement	5	0.28435491063284546	0.14037374370673664	8	Prs
Meta.Ruminococcus_gnavus	5	0.16852245580885059	0.13657647889429575	8	Meta
Meta.Bifidobacterium_longum	5	0.28987529959667896	0.13483948970147736	8	Meta
Meta.Eubacterium_rectale	5	0.15713545691056313	0.10841537018746542	7	Meta
Prs.Disease.type_I_diabetes_mellitus	5	0.21425203673912668	0.10543527980377099	6	Prs
Prs.Quant.uric_acid_measurement	5	0.14945267764650816	0.10526361055527171	4	Prs
Prs.Quant.diastolic_blood_pressure	5	0.08319183707817109	0.092510855150087	4	Prs
Meta.M00539	5	0.06061984483157481	0.0836386028877868	3	Meta
Meta.Alistipes_senegalensis	5	0.13522826482926226	0.07994666854981575	9	Meta
Meta.Bacteroides_plebeius	5	0.16005115935306138	0.07850644656128125	8	Meta
Prs.Disease.type_1_diabetes_nephropathy	5	0.13195079670691406	0.07083650146467442	5	Prs
Prs.Disease.coronary_artery_disease	5	0.03894798981185934	0.06863389519870565	1	Prs
Health.Monocyte_percentage(%)	5	0.08023620085198968	0.0674016093429165	5	Health
Prs.Quant.granulocyte_percentage_of_myeloid_white_cells	5	0.055608033549605904	0.06592539468717112	6	Prs
Prs.Quant.nausea_and_vomiting_of_pregnancy_severity_measurement	5	0.09557157026186912	0.06414385709428104	3	Prs
Prs.Disease.uterine_fibroid	5	0.07020120799911124	0.06268256721369991	2	Prs
Meta.M00034	5	0.17704176901797797	0.061981689495026956	5	Meta
Meta.Parabacteroides_unclassified	5	0.08786678531607153	0.06148846186609623	4	Meta
Prs.Quant.cortisol_measurement	5	0.1355141453143136	0.06054683840014672	4	Prs
Meta.M00462	5	0.13412254589616357	0.06009331021214145	7	Meta
Prs.Quant.granulocyte_colony-stimulating_factor_measurement	5	0.058880382477623235	0.0600826099500089	4	Prs
Meta.M00253	5	0.043656253460186506	0.05948738526436569	3	Meta
Prs.Disease.upper_aerodigestive_tract_neoplasm	5	0.06054037346474334	0.058999260802638766	1	Prs
