feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Meta.Bacteroides_plebeius	5	0.5313113320796036	0.517414636880885	7	Meta
Meta.M00462	5	0.34852544299227356	0.3680366125120441	5	Meta
Prs.Quant.uric_acid_measurement	5	0.3636095628340278	0.3642711316877583	3	Prs
Prs.Disease.type_I_diabetes_mellitus	5	0.3149608198921961	0.3289699465157488	3	Prs
Meta.Bacteroidales_bacterium_ph8	5	0.25264462374024244	0.2610077098712301	4	Meta
Prs.Quant.attention_deficit_hyperactivity_disorder	5	0.25170734166210995	0.24611627086716176	2	Prs
Prs.Quant.interleukin_17_measurement	5	0.1705898934753984	0.2163428104522732	1	Prs
Prs.Quant.heart_function_measurement	5	0.1540624366450972	0.18996449738766083	2	Prs
Prs.Disease.unipolar_depression	5	0.21275010894857785	0.16281138770085957	2	Prs
Prs.Quant.beta-nerve_growth_factor_measurement	5	0.1705898934753987	0.14310870516408877	1	Prs
Prs.Quant.sleep_duration	5	0.11190222117191778	0.14080762279652065	1	Prs
Prs.Quant.physical_activity_measurement	5	0.14096606158719766	0.13741585349898172	3	Prs
Prs.Disease.asthma	5	0.17058989347539855	0.12677013295313194	1	Prs
Meta.M00466	5	0.13131024228612087	0.11969084148364253	3	Meta
Meta.Bacteroides_stercoris	5	0.10112551619035244	0.1048072376323758	1	Meta
Prs.Quant.cutaneous_melanoma	5	0.09044081821663054	0.08500533294347837	2	Prs
Prs.Quant.hepatocyte_growth_factor_measurement	5	0.08111744818671185	0.07415666757846892	1	Prs
Meta.M00511	5	0.045260441435876514	0.03849170018465128	1	Meta
Meta.M00550	5	0.04526044143587678	0.034120003583836676	1	Meta
Prs.Disease.circadian_rhythm	5	0.0421602154731797	0.03358628808367369	1	Prs
Meta.M00086	5	0.02903813379062528	0.02738394706757666	1	Meta
