feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Psy.Toughness_Assessment_Score	9	0.3601499349839283	0.4359396068296154	9	Psy
Psy.Total_score_of_psychological_elasticity	9	0.41527740192743795	0.40024923810270185	11	Psy
surveyHealth.Work_situation	9	0.26852495157286543	0.2904595374942588	5	surveyHealth
Prs.Quant.homocysteine_measurement	9	0.19922931423246	0.26992441574427734	3	Prs
Psy.Optimistic_evaluation_score	9	0.30614830711764957	0.2694036837078551	13	Psy
Prs.Disease.Graves_disease	9	0.2839571063882385	0.2579246470726941	6	Prs
surveyHealth.Sport_type	9	0.21520777385650264	0.2505030511591137	4	surveyHealth
Psy.Strength_Assessment_Score	9	0.26403051973944003	0.2278492755791529	7	Psy
Prs.Quant.leukocyte_count	9	0.1682725524066126	0.21810055702909156	5	Prs
Prs.Quant.granulocyte_count	9	0.22006157255690695	0.20238738595442665	5	Prs
Prs.Disease.pancreatitis	9	0.2152077738565026	0.1710300916983373	4	Prs
Prs.Quant.heart_rate	9	0.15429155777077994	0.15603410234593218	3	Prs
Prs.Disease.allergy	9	0.15429155777077982	0.1404406300069015	3	Prs
Prs.Quant.macrophage_migration_inhibitory_factor_measurement	9	0.11815661879610208	0.1081708153757001	4	Prs
Prs.Quant.obsessive-compulsive_symptom_measurement	9	0.15742110878536703	0.09471500416534433	6	Prs
Prs.Quant.corneal_topography	9	0.07712976834449228	0.08268217843954515	3	Prs
Meta.M00024	9	0.13020061421483384	0.08095416579792097	2	Meta
Psy.Terror_Assessment_Score	9	0.08148489672110844	0.0794584132311546	5	Psy
Meta.M00353	9	0.03801244862609174	0.06033783844385622	2	Meta
Prs.Disease.primary_biliary_cirrhosis	9	0.05867839363589321	0.05997833086389135	1	Prs
Prs.Disease.biliary_liver_cirrhosis	9	0.0642601312422011	0.05437040696059122	3	Prs
Prs.Quant.transferrin_saturation_measurement	9	0.058678393635893215	0.048961141163434654	1	Prs
Prs.Quant.alcohol_consumption_measurement	9	0.05867839363589321	0.04525784538752693	1	Prs
Meta.M00378	9	0.055394345089973394	0.04336237962215106	2	Meta
Phy.Sit-and-reach_Test(cm)	9	0.041248134235161146	0.04233791092070074	1	Phy
Prs.Quant.visceral_adipose_tissue_measurement	9	0.05867839363589322	0.04095708474345846	1	Prs
Meta.Dorea_longicatena	9	0.05150578208507106	0.04006957486653178	3	Meta
Prs.Quant.sensory_perception_of_smell	9	0.061460291379533065	0.03990285703883598	2	Prs
Prs.Disease.psoriasis_vulgaris	9	0.058678393635893195	0.03882571028781624	1	Prs
Meta.M00572	9	0.03225222168038062	0.03839237409803329	1	Meta
Meta.Bacteroides_fragilis	9	0.032252221680380624	0.03707871132517816	1	Meta
Meta.M00249	9	0.05442508247466865	0.03642417580154099	1	Meta
Immune.uniq.Systemic_lupus_erythematosus(SLE)	9	0.041248134235161125	0.033053325469960135	1	Immune
Meta.M00608	9	0.057184320425945574	0.03214438280672012	6	Meta
Prs.Disease.Ewing_sarcoma	9	0.03005337431330447	0.028976638681134547	3	Prs
Meta.M00330	9	0.029572532498406995	0.02641365264042168	1	Meta
Meta.Bacteroides_intestinalis	9	0.036233642757697276	0.024884126773976067	4	Meta
Meta.M00470	9	0.029572532498407005	0.023399864624801172	1	Meta
Meta.M00476	9	0.03730295369103306	0.02333216191670112	3	Meta
Prs.Quant.acute_insulin_response_measurement	9	0.017000216091796302	0.01633342188633268	2	Prs
Meta.M00503	9	0.023644150726875843	0.015957452644707784	2	Meta
Meta.M00218	9	0.03831108963592153	0.015738909281003927	3	Meta
Meta.M00622	9	0.02264667295951922	0.01558819758701558	1	Meta
Meta.M00663	9	0.030172362783494888	0.013287034120332596	1	Meta
Prs.Quant.anxiety	9	0.028175213180025232	0.013108119184966356	3	Prs
Meta.M00540	9	0.014783197563866137	0.011927215525488487	1	Meta
Prs.Quant.blood_urea_nitrogen_measurement	9	0.020489179904868027	0.011731893644716093	2	Prs
Prs.Quant.protein_C_measurement	9	0.016998357537168822	0.011364291345975792	3	Prs
Meta.M00117	9	0.014514256986557688	0.009974919087503366	2	Meta
Prs.Disease.Mitral_valve_prolapse	9	0.014287732609261607	0.008926736938844979	2	Prs
Meta.Eubacterium_hallii	9	0.016335890599844922	0.008140847924057407	5	Meta
Meta.M00704	9	0.012786234479952642	0.007789389848337243	2	Meta
Prs.Disease.endometrial_endometrioid_carcinoma	9	0.014266307972823609	0.005918833726095463	3	Prs
Prs.Quant.birth_weight	9	0.010960322124091348	0.005722271412385108	1	Prs
Prs.Quant.growth-regulated_alpha_protein_measurement	9	0.012813319171982293	0.005522911797264188	3	Prs
Prs.Disease.endometrial_carcinoma	9	0.012076403301072567	0.004926423718147547	3	Prs
Prs.Quant.mosquito_bite_reaction_itch_intensity_measurement	9	0.010075821750089442	0.004629587791961885	2	Prs
Meta.Ruminococcus_bromii	9	0.007211931099925223	0.004617795192752463	5	Meta
Prs.Disease.type_II_diabetes_mellitus	9	0.0072605322607209	0.003927846558062147	2	Prs
Prs.Disease.stroke	9	0.007149728904503707	0.003077170765184843	1	Prs
Prs.Disease.cutaneous_squamous_cell_carcinoma	9	0.005204234658477915	0.0022739774222906013	2	Prs
Prs.Quant.vital_capacity	9	0.004513330039208595	0.001864493066644002	2	Prs
Meta.M00151	9	0.00352259854846154	0.0015946637234013194	2	Meta
Meta.M00152	9	0.0036796357394409595	0.0015410121701818773	3	Meta
Prs.Disease.AL_amyloidosis	9	0.002450693609901847	0.0014947535490665617	1	Prs
Prs.Quant.body_fat_percentage	9	0.003250452864174965	0.001310082772329065	2	Prs
Prs.Disease.oral_cavity_cancer	9	0.0031310439964060406	0.0012334269055029583	1	Prs
Meta.M00302	9	0.0035083926849707498	0.0011411950260856686	3	Meta
Meta.M00357	9	0.0027343742085058297	0.0009033151950453874	1	Meta
Meta.M00778	9	0.0024558848397191455	0.0008760630749087986	1	Meta
Prs.Quant.metabolic_syndrome	9	0.0014662490508728625	0.0008009044726640861	2	Prs
Skin.Number_of_textures_on_side_face	9	0.0018343727070787256	0.0007227348058484482	4	Skin
Skin.Number_of_textures_on_frontal_face	9	0.0016474157147881993	0.0006941936853329503	3	Skin
Health.Basophil_absolute_counts(G/L)	9	0.0023146427079011015	0.0006520842060128406	1	Health
Prs.Disease.attempted_suicide	9	0.001380427488175067	0.0004415682848207939	2	Prs
Prs.Disease.anti-neutrophil_antibody_associated_vasculitis	9	0.0010240294768588272	0.00024194439569763475	2	Prs
Prs.Quant.fibroblast_growth_factor_basic_measurement	9	0.0008193249200238782	0.00023752056639865504	3	Prs
Prs.Disease.atrial_fibrillation	9	0.0006673424181198746	0.00021570102656982279	2	Prs
Prs.Quant.drug_dependence	9	0.0006673424181198677	0.00021284616779459822	2	Prs
Meta.M00504	9	0.0006230031269964706	0.00016277212456684416	1	Meta
Meta.Bacteroides_caccae	9	0.00043806810630735887	0.00016127352503878925	2	Meta
Meta.M00448	9	0.0001570371909794182	3.9424248042971254e-05	1	Meta
