feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Vitamin.5-methyltetrahydrofolate(ng/mL)	0.3015393218483842	0.46512640599705113	39	Vitamin
Microelement.Selenium(μg/L)	0.27877494369216804	0.4199341565157656	28	Microelement
Vitamin.Pyridoxine(ng/mL)	0.24530932020853066	0.21222539154931758	23	Vitamin
Amino.Ornithine(μmol/L)	0.0745308038516998	0.19807412681730252	5	Amino
Amino.Carnosine(μmol/L)	0.07125049353976776	0.19003941738225547	9	Amino
Health.Total_protein(g/L)	0.06430312781881725	0.14904230499308513	8	Health
surveyHealth.Work_situation	0.1350005802775069	0.14538567801258698	12	surveyHealth
Microelement.Mercury(μg/L)	0.051899013375220425	0.14317021310386677	10	Microelement
Prs.Quant.temperament_and_character_inventory	0.23598674532030142	0.14050134567943617	36	Prs
Psy.Total_score_of_psychological_elasticity	0.2294893270102268	0.13963583932445256	34	Psy
Meta.M00204	0.1763138384702853	0.13777098837286555	12	Meta
Hormone.Serum_aldosterone_test_value(ng/mL)	0.12328866249229663	0.1332988101658068	9	Hormone
Meta.M00226	0.15541859855099363	0.13130884338094123	10	Meta
Meta.M00241	0.18241252773899572	0.12957902311825226	12	Meta
Meta.M00225	0.1595293340608737	0.12778331427406864	9	Meta
Meta.M00488	0.15665312190617423	0.12056086814496127	9	Meta
Amino.Histidine(μmol/L)	0.05289593191267701	0.1201831906773999	3	Amino
Meta.M00300	0.14722727704734762	0.11404936598849513	10	Meta
Meta.M00417	0.13744596235194553	0.11310432802267169	8	Meta
Prs.Quant.thyroid_peroxidase_antibody_measurement	0.17827231173323776	0.11206523568079556	18	Prs
Meta.M00136	0.15969093883002708	0.11187939919033715	9	Meta
Amino.Homocysteine_level(μmol/L)	0.04521868711346985	0.10902950623956886	5	Amino
Microelement.Chromium(μg/L)	0.05169234542897511	0.10517268514844509	4	Microelement
Health.Globulin_concentration(g/L)	0.047680199376640295	0.10505106194320575	8	Health
Meta.M00746	0.16106866263893366	0.09955576603541827	11	Meta
Meta.M00451	0.11118339310244825	0.09813475651543915	7	Meta
Microelement.Strontium(μg/L)	0.08732940014193076	0.09685076346252261	9	Microelement
Meta.M00113	0.11591374385495887	0.09345874787276219	6	Meta
Psy.Strength_Assessment_Score	0.17027691535518352	0.0924320234706416	23	Psy
Psy.Toughness_Assessment_Score	0.14458258777487581	0.08984058443786783	28	Psy
Prs.Disease.melanoma	0.13943452625962816	0.08724935307763432	21	Prs
Meta.M00229	0.13684842551828558	0.0844627842266129	9	Meta
Prs.Quant.urinary_albumin_to_creatinine_ratio	0.14506795301068987	0.07711148197020966	23	Prs
Prs.Quant.prostate_specific_antigen_measurement	0.12184315556505394	0.07403395947921625	24	Prs
Meta.M00213	0.10706383490013631	0.07185602536943973	6	Meta
Health.Albumin/globulin_ratio	0.03942596769942424	0.07057256384832375	6	Health
Meta.M00449	0.11254403706325393	0.06964737001824452	7	Meta
Amino.Glutamine(μmol/L)	0.057941998854249034	0.0696425779146133	4	Amino
Meta.M00087	0.09054623767618296	0.06634304215646675	6	Meta
Meta.Escherichia_coli	0.09459372721778263	0.06617233200758951	6	Meta
Prs.Quant.homocysteine_measurement	0.06104432926546997	0.06502203692161684	8	Prs
Meta.M00446	0.09339438563417003	0.06469527658780413	9	Meta
Meta.Prevotella_copri	0.05439357290267484	0.057899206005747036	5	Meta
Prs.Quant.eye_measurement	0.0926259071104951	0.057673448936082304	9	Prs
Meta.M00258	0.04931180867972494	0.05587846804053768	3	Meta
Meta.M00192	0.07101189652278472	0.05482748987576985	6	Meta
Meta.M00555	0.06202563278382284	0.05156061087863163	4	Meta
Meta.M00843	0.03980401524435495	0.04946042873753069	4	Meta
Meta.M00040	0.03812256377443187	0.04924296642836425	3	Meta
Meta.M00324	0.0818151300818889	0.048989469165081095	5	Meta
Meta.M00342	0.05228654422677642	0.048850417569096194	5	Meta
Meta.M00306	0.0925086420439307	0.04798063200419301	7	Meta
Prs.Quant.lymphocyte_count	0.045559394721638946	0.04666809159717925	3	Prs
Meta.M00305	0.0785664989627038	0.04558347219665329	7	Meta
