feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.sleep_duration	9	0.38835082870702975	0.3798958019596942	4	Prs
Meta.M00356	9	0.3105105165569519	0.30816114121127136	3	Meta
Meta.M00563	9	0.25192389007427185	0.3081105766280925	3	Meta
Prs.Quant.radius_bone_mineral_density	9	0.13672112886754315	0.2689529021763058	4	Prs
Prs.Quant.stem_Cell_Factor_measurement	9	0.21189506707540137	0.26044201262659317	3	Prs
Meta.M00464	9	0.07817322920487228	0.25012608796857266	3	Meta
Meta.M00518	9	0.3417549841925734	0.24315727999144668	4	Meta
Prs.Quant.peak_insulin_response_measurement	9	0.3278327107201174	0.2235311905550651	4	Prs
Prs.Quant.irritable_bowel_syndrome	9	0.15272432705363928	0.2024868988169857	4	Prs
Skin.Number_of_wrinkles_on_frontal_face	9	0.17510016881651613	0.19446670291048598	3	Skin
Meta.M00242	9	0.25654455125646775	0.18169903636210322	3	Meta
Prs.Quant.cancer_biomarker_measurement	9	0.2526783616995019	0.16652930656248513	4	Prs
Prs.Disease.stroke	9	0.07077456411450972	0.15952751879609367	2	Prs
Prs.Disease.white_matter_lesion_progression_measurement	9	0.13395386466073927	0.15094004744610098	3	Prs
Prs.Disease.androgenetic_alopecia	9	0.190938860355831	0.14466996519798397	3	Prs
Meta.M00243	9	0.10962635254809722	0.14205704378660497	2	Meta
Meta.Bacteroides_intestinalis	9	0.13336343489124383	0.13171029722224709	2	Meta
Meta.M00037	9	0.09591492872602936	0.12904245538436968	2	Meta
Prs.Quant.erythrocyte_cadmium_measurement	9	0.02615469165139429	0.11385245466151103	1	Prs
Meta.M00412	9	0.19422362685778727	0.11078701480196153	2	Meta
Meta.M00521	9	0.07089447625713816	0.10437123398737484	1	Meta
Skin.Number_of_wrinkles_on_side_face	9	0.12935690089560667	0.09800368151682791	2	Skin
Meta.Alistipes_senegalensis	9	0.11931196347714103	0.09420559894610933	3	Meta
Meta.M00468	9	0.057538321168703305	0.0925319325596455	2	Meta
Meta.M00622	9	0.05109751410276487	0.08434318709609452	1	Meta
Prs.Quant.pulse_pressure_measurement	9	0.12575163323830799	0.08257780288514747	2	Prs
Meta.M00282	9	0.045743267920909464	0.07798715177268	1	Meta
Prs.Quant.heel_bone_mineral_density	9	0.11434216448265634	0.07282186615885934	1	Prs
Prs.Disease.alcohol_dependence	9	0.01925079804957749	0.03641284214454432	1	Prs
Prs.Disease.amyotrophic_lateral_sclerosis	9	0.039918622357134934	0.03525062557371935	1	Prs
