feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.macrophage_migration_inhibitory_factor_measurement	9	0.43455882443366795	0.4353688480474748	15	Prs
Prs.Quant.basophil_percentage_of_leukocytes	9	0.34629923131134405	0.35387648201606925	10	Prs
Prs.Disease.triple-negative_breast_cancer	9	0.30970927083457633	0.2800903765646113	9	Prs
Meta.M00173	9	0.2537174927548699	0.27312531009158003	5	Meta
Meta.M00009	9	0.27420682759037235	0.2730229592341872	6	Meta
Meta.M00614	9	0.2537174927548696	0.26135826664905504	5	Meta
Meta.M00346	9	0.2348893131323549	0.2608152574215559	5	Meta
Prs.Quant.interleukin-8_measurement	9	0.20439213395854902	0.2561396297814899	8	Prs
Meta.M00740	9	0.21584478663497092	0.19345099784653028	4	Meta
Meta.M00012	9	0.17368713362018237	0.15188752641509531	5	Meta
Meta.M00017	9	0.1536917291806709	0.1421921050502536	3	Meta
Meta.M00048	9	0.14184685981024284	0.13799827967231082	2	Meta
Meta.M00119	9	0.11606870974034915	0.13236069147920038	2	Meta
Meta.M00011	9	0.15087118709654568	0.12936668532222215	3	Meta
Meta.M00126	9	0.11606870974034908	0.12779140971553923	2	Meta
Meta.M00374	9	0.14184685981024278	0.12385723321538192	2	Meta
Prs.Quant.heart_rate_variability_measurement	9	0.12826359058116935	0.10851470496425958	4	Prs
Prs.Disease.myocardial_infarction	9	0.10173940446388192	0.09486045284160699	4	Prs
Meta.M00051	9	0.09078470253887157	0.0935291392694159	2	Meta
Prs.Quant.glucose_tolerance_test	9	0.0976446695121978	0.08227915971976438	4	Prs
Prs.Quant.interleukin_1_receptor_antagonist_measurement	9	0.0862683154901669	0.07982561477018935	4	Prs
Meta.M00840	9	0.0739979268247281	0.07798425867227902	2	Meta
Meta.M00841	9	0.07893983316844347	0.07714607655930061	1	Meta
Meta.M00049	9	0.09078470253887168	0.076192178130083	2	Meta
Meta.M00022	9	0.0789398331684435	0.06687862111648181	1	Meta
Prs.Quant.BMI-adjusted_leptin_measurement	9	0.07422000136629103	0.06413417071154764	2	Prs
Meta.M00075	9	0.03712887657190566	0.05887297860435206	1	Meta
Meta.M00003	9	0.06290702664179934	0.058814968553209716	1	Meta
Meta.M00168	9	0.07399792682472808	0.056222698105748876	2	Meta
Meta.M00153	9	0.03712887657190562	0.056026293358552214	1	Meta
Prs.Quant.cutaneous_melanoma	9	0.06520526206586028	0.05601915011635425	5	Prs
Meta.M00063	9	0.03712887657190563	0.046985282760599316	1	Meta
Meta.M00150	9	0.03415256396390931	0.035905355985425866	2	Meta
Meta.M00668	9	0.018481483204264224	0.01841011372015522	1	Meta
Meta.M00529	9	0.01567108075964509	0.01686420016372409	1	Meta
Meta.M00450	9	0.023299737280121822	0.016249923191715285	1	Meta
Meta.M00157	9	0.011844869370428179	0.010037470610934159	1	Meta
Meta.M00570	9	0.011844869370428153	0.008821913379307775	1	Meta
